id	selection_tier	origin_rule	typed_reading	corrected_reading	expected_candidate	typed_keys	corrected_keys	mechanism	source	train_count	page_count	reverse_count	test_count	match_policy	builtin_collision_count
1	required	none	しますた	しました	しました	simasuta	simasita	adjacent_key_substitution	product_seed	0	0	0	0	lattice_span_exact	0
2	required	none	ごかくに	ごかくにん	ご確認	gokakuni	gokakunin	missing_key	product_seed	0	0	0	0	lattice_span_exact	0
3	core	none	であある	である	である	deaaru	dearu	key_repeat	JWTD_v2_train	67	67	0	3	lattice_span_exact	0
4	core	none	でああった	であった	であった	deaatta	deatta	key_repeat	JWTD_v2_train	37	37	0	0	lattice_span_exact	0
5	core	none	でああり	であり	であり	deaari	deari	key_repeat	JWTD_v2_train	27	27	0	0	lattice_span_exact	0
6	core	none	なっかた	なかった	なかった	nakkata	nakatta	geminate_shift	JWTD_v2_train	80	78	0	3	lattice_span_exact	0
7	core	none	きかっけ	きっかけ	きっかけ	kikakke	kikkake	geminate_shift	JWTD_v2_train	56	55	0	3	lattice_span_exact	0
8	core	none	ことろ	ところ	ところ	kotoro	tokoro	mora_transposition	JWTD_v2_train	49	48	1	2	lattice_span_exact	1
9	core	none	だたし	ただし	ただし	datasi	tadasi	mora_transposition	JWTD_v2_train	88	88	1	0	lattice_span_exact	0
10	core	none	られれて	られて	られて	rarerete	rarete	mora_repeat	JWTD_v2_train	41	41	0	0	lattice_span_exact	0
11	core	none	られれた	られた	られた	rarereta	rareta	mora_repeat	JWTD_v2_train	39	39	0	0	lattice_span_exact	0
12	core	none	かからわ	かかわら	かかわら	kakarawa	kakawara	mora_transposition	JWTD_v2_train	26	26	0	0	lattice_span_exact	0
13	core	none	あたな	あなた	あなた	atana	anata	mora_transposition	JWTD_v2_train	20	20	0	0	lattice_span_exact	0
14	core	none	おそよ	およそ	およそ	osoyo	oyoso	mora_transposition	JWTD_v2_train	16	16	0	0	lattice_span_exact	0
15	core	none	いすれ	いずれ	いずれ	isure	izure	adjacent_key_substitution	JWTD_v2_train	30	30	0	1	lattice_span_exact	4
16	core	none	ざまざまな	さまざまな	さまざまな	zamazamana	samazamana	adjacent_key_substitution	JWTD_v2_train	17	16	0	0	lattice_span_exact	0
17	core	none	ずべて	すべて	すべて	zubete	subete	adjacent_key_substitution	JWTD_v2_train	13	13	0	0	lattice_span_exact	1
18	core	none	すれは	すれば	すれば	sureha	sureba	adjacent_key_substitution	JWTD_v2_train	16	16	0	0	lattice_span_exact	0
19	core	none	できす	できず	できず	dekisu	dekizu	adjacent_key_substitution	JWTD_v2_train	14	14	0	1	lattice_span_exact	0
20	core	none	なけければ	なければ	なければ	nakekereba	nakereba	mora_repeat	JWTD_v2_train	7	7	0	0	lattice_span_exact	0
21	core	none	でききる	できる	できる	dekikiru	dekiru	mora_repeat	JWTD_v2_train	6	6	0	0	lattice_span_exact	0
22	core	none	ししかし	しかし	しかし	sisikasi	sikasi	mora_repeat	JWTD_v2_train	6	6	0	0	lattice_span_exact	0
23	core	none	あるいいは	あるいは	あるいは	aruiiha	aruiha	key_repeat	JWTD_v2_train	5	5	0	0	lattice_span_exact	0
24	core	none	においいて	において	において	nioiite	nioite	key_repeat	JWTD_v2_train	5	5	0	0	lattice_span_exact	0
25	core	none	そののまま	そのまま	そのまま	sononomama	sonomama	mora_repeat	JWTD_v2_train	9	9	0	0	lattice_span_exact	0
26	core	none	なかかった	なかった	なかった	nakakatta	nakatta	mora_repeat	JWTD_v2_train	13	13	0	0	lattice_span_exact	0
27	core	none	ファション	ファッション	ファッション	fashon	fasshon	missing_key	JWTD_v2_train	36	36	0	1	raw_lattice_span_exact	0
28	core	none	ショピング	ショッピング	ショッピング	shopingu	shoppingu	missing_key	JWTD_v2_train	12	12	0	0	lattice_span_exact	0
29	core	none	ヨーロパ	ヨーロッパ	ヨーロッパ	yo-ropa	yo-roppa	missing_key	JWTD_v2_train	18	17	0	0	raw_lattice_span_exact	0
30	core	none	フィランド	フィンランド	フィンランド	firando	finrando	missing_key	JWTD_v2_train	19	10	0	0	lattice_span_exact	0
31	core	none	グリーランド	グリーンランド	グリーンランド	guri-rando	guri-nrando	missing_key	JWTD_v2_train	30	12	0	0	raw_lattice_span_exact	0
32	core	none	エンディグ	エンディング	エンディング	endhigu	endhingu	missing_key	JWTD_v2_train	13	13	0	0	lattice_span_exact	0
33	core	none	エンディンググ	エンディング	エンディング	endhingugu	endhingu	mora_repeat	JWTD_v2_train	18	15	0	0	lattice_span_exact	0
34	core	none	オープニンググ	オープニング	オープニング	o-puningugu	o-puningu	mora_repeat	JWTD_v2_train	13	13	0	0	raw_lattice_span_exact	0
35	core	none	ラインセンス	ライセンス	ライセンス	rainsensu	raisensu	extra_key	JWTD_v2_train	21	19	0	0	lattice_span_exact	0
36	core	none	キャラクラー	キャラクター	キャラクター	kyarakura-	kyarakuta-	adjacent_key_substitution	JWTD_v2_train	27	25	0	2	raw_lattice_span_exact	0
37	core	none	アミニズム	アニミズム	アニミズム	aminizumu	animizumu	mora_transposition	JWTD_v2_train	21	20	0	0	lattice_span_exact	0
38	core	none	グアマテラ	グアテマラ	グアテマラ	guamatera	guatemara	mora_transposition	JWTD_v2_train	17	7	0	0	lattice_span_exact	0
39	core	none	スッタフ	スタッフ	スタッフ	suttafu	sutaffu	geminate_shift	JWTD_v2_train	11	11	0	1	lattice_span_exact	0
41	candidate	NN	そんあ	そんな	そんな	sonna	sonna	rewrite_nn_fallback	JWTD_v2_train	6	6	0	0	lattice_span_exact	0
42	candidate	NN	ちゃんえる	ちゃんねる	チャンネル	tyanneru	tyanneru	rewrite_nn_fallback	JWTD_v2_train	5	5	0	0	lattice_span_exact	0
43	candidate	NN	こんいちは	こんにちは	こんにちは	konnitiha	konnitiha	rewrite_nn_fallback	JWTD_v2_train	3	3	0	0	lattice_span_exact	0
44	candidate	NN	どんあ	どんな	どんな	donna	donna	rewrite_nn_fallback	JWTD_v2_train	2	2	0	0	lattice_span_exact	0
45	candidate	NN	とんえるず	とんねるず	とんねるず	tonneruzu	tonneruzu	rewrite_nn_fallback	JWTD_v2_train	2	2	0	0	lattice_span_exact	0
46	candidate	NN	いろんあ	いろんな	いろんな	ironna	ironna	rewrite_nn_fallback	JWTD_v2_train	1	1	0	0	lattice_span_exact	0
47	candidate	NN	あんあ	あんな	あんな	anna	anna	rewrite_nn_fallback	JWTD_v2_train	1	1	0	0	lattice_span_exact	0
48	candidate	NN	へいわかんおんじ	へいわかんのんじ	平和観音寺	heiwakannonji	heiwakannonji	rewrite_nn_fallback	JWTD_v2_train	1	1	0	0	lattice_span_exact	0
49	candidate	NN	みんあ	みんな	みんな	minna	minna	rewrite_nn_fallback	curated_seed	0	0	0	0	lattice_span_exact	0
50	candidate	NN	おんあ	おんな	おんな	onna	onna	rewrite_nn_fallback	curated_seed	0	0	0	0	lattice_span_exact	0
51	candidate	M	しmばし	しんばし	新橋	simbasi	simbasi	rewrite_m_fallback	curated_seed	0	0	0	0	raw_lattice_span_exact	0
52	candidate	M	なmば	なんば	難波	namba	namba	rewrite_m_fallback	curated_seed	0	0	0	0	raw_lattice_span_exact	0
53	candidate	M	さmぽ	さんぽ	散歩	sampo	sampo	rewrite_m_fallback	curated_seed	0	0	0	0	raw_lattice_span_exact	0
54	candidate	M	しmぶん	しんぶん	新聞	simbun	simbun	rewrite_m_fallback	curated_seed	0	0	0	0	raw_lattice_span_exact	0
55	candidate	M	てmぷら	てんぷら	天ぷら	tempura	tempura	rewrite_m_fallback	curated_seed	0	0	0	0	raw_lattice_span_exact	0
56	candidate	M	かmぱい	かんぱい	乾杯	kampai	kampai	rewrite_m_fallback	curated_seed	0	0	0	0	raw_lattice_span_exact	0
57	candidate	M	せmぱい	せんぱい	先輩	sempai	sempai	rewrite_m_fallback	curated_seed	0	0	0	0	raw_lattice_span_exact	0
58	candidate	M	えmぴつ	えんぴつ	鉛筆	empitu	empitu	rewrite_m_fallback	curated_seed	0	0	0	0	raw_lattice_span_exact	0
59	candidate	M	しmぱい	しんぱい	心配	simpai	simpai	rewrite_m_fallback	curated_seed	0	0	0	0	raw_lattice_span_exact	0
60	candidate	M	かmぺき	かんぺき	完璧	kampeki	kampeki	rewrite_m_fallback	curated_seed	0	0	0	0	raw_lattice_span_exact	0
61	candidate	Yu	ちゅおう	ちゅうおう	中央	tyuou	tyuuou	rewrite_yu_fallback	JWTD_v2_train	8	6	0	0	lattice_span_exact	1
62	candidate	Yu	ちゅげん	ちゅうげん	中原	tyugen	tyuugen	rewrite_yu_fallback	JWTD_v2_train	2	2	0	1	raw_lattice_span_exact	0
63	candidate	Yu	きゅじょう	きゅうじょう	球場	kyujou	kyuujou	rewrite_yu_fallback	JWTD_v2_train	1	1	0	0	lattice_span_exact	0
64	candidate	Yu	りゅせい	りゅうせい	流星	ryusei	ryuusei	rewrite_yu_fallback	JWTD_v2_train	1	1	0	0	lattice_span_exact	0
65	candidate	Yu	しゅねん	しゅうねん	周年	syunen	syuunen	rewrite_yu_fallback	JWTD_v2_train	1	1	0	0	raw_lattice_span_exact	0
66	candidate	Yu	ちゅけい	ちゅうけい	中継	tyukei	tyuukei	rewrite_yu_fallback	JWTD_v2_train	1	1	0	0	lattice_span_exact	0
67	candidate	Yu	ちゅこう	ちゅうこう	中高	tyukou	tyuukou	rewrite_yu_fallback	JWTD_v2_train	1	1	0	0	lattice_span_exact	0
68	candidate	Yu	ちゅしん	ちゅうしん	中心	tyusin	tyuusin	rewrite_yu_fallback	JWTD_v2_train	1	1	0	0	raw_lattice_span_exact	0
